iter	Accuracy	MultiClass
622	0.9752078995	0.07816241573
623	0.9752417205	0.07813331027
624	0.9752836393	0.07810020904
625	0.975286615	0.0780575931
626	0.975337248	0.0780328144
627	0.9753588238	0.07800103455
628	0.9754264206	0.07798624488
629	0.9753884974	0.07796223406
630	0.9754089469	0.07794700479
631	0.9754060776	0.07790655202
632	0.9753943424	0.07789126304
633	0.9754555842	0.07786265377
634	0.9754790094	0.07782243357
635	0.9754386204	0.0777814465
636	0.9754449753	0.07775313871
637	0.9755068336	0.07770702029
638	0.9755517282	0.07767969393
639	0.9755604423	0.0776385136
640	0.9755628016	0.07761231387
641	0.9756461293	0.07756883816
642	0.9757108568	0.07753349765
643	0.9756892809	0.07752041386
644	0.9756789305	0.07750321159
645	0.9756205578	0.07748549748
646	0.9756299338	0.0774623394
647	0.9756817997	0.07743484136
648	0.9756765712	0.07741634688
649	0.9756549953	0.07738067387
650	0.97564326	0.07735005312
651	0.975658839	0.07731871345
652	0.9756442345	0.07729405332
653	0.9757019907	0.07724693913
654	0.9757089621	0.07721981446
655	0.9757235666	0.07718513511
656	0.9757906534	0.07713788708
657	0.9757882941	0.07711579457
658	0.975803515	0.07708176436
659	0.9758336985	0.07703847814
660	0.9758955569	0.0770110155
661	0.9758639886	0.07697784709
662	0.9758628622	0.07695901796
663	0.9758815688	0.07693783809
664	0.9759271251	0.07688824004
665	0.9759592033	0.07684390922
666	0.975948701	0.07680473083
667	0.9760018451	0.07677053878
668	0.9759859396	0.0766913365
669	0.9759672329	0.07664387568
670	0.9759526284	0.07660723162
671	0.9759508856	0.07657656662
672	0.9759275669	0.07654132789
673	0.9759532449	0.07651826771
674	0.9759515021	0.07648995974
675	0.9759707186	0.0764650458
676	0.9759549877	0.07643485289
677	0.9759986493	0.0763901888
678	0.9760033679	0.07636921269
679	0.9760149967	0.07635130404
680	0.976061634	0.07632779624
681	0.9760902266	0.07629108405
682	0.9760791077	0.07626500029
683	0.9761392232	0.07624735036
684	0.976156187	0.0762324919
685	0.976155464	0.07619826985
686	0.9761816519	0.07618440585
687	0.9761956399	0.07616863166
688	0.9761548475	0.07614209911
689	0.9761700685	0.07611548135
690	0.9761758069	0.07609094677
691	0.9761886686	0.0760590378
692	0.9761921543	0.07603127752
693	0.9761991256	0.07601515612
694	0.9761991256	0.07598158554
695	0.9762224443	0.07596221006
696	0.9762394081	0.07594813875
697	0.9762435102	0.07592462571
698	0.9762528409	0.0758882113
699	0.9762988618	0.07585810423
700	0.9763221804	0.07583228995
701	0.9763583608	0.07580722981
702	0.9762931233	0.07576973415
703	0.976325818	0.07573378357
704	0.9763158256	0.07570632085
705	0.9763071114	0.07568194939
706	0.9763927983	0.07565021274
707	0.9763758345	0.07563028609
708	0.9763712224	0.07560941168
709	0.9763799366	0.07558168019
710	0.9763951576	0.07555073392
711	0.9764038718	0.07550484162
712	0.9764487663	0.07547758819
713	0.9764498927	0.07545101145
714	0.9764656235	0.07542952821
715	0.9764277004	0.07540896751
716	0.976451019	0.07538070964
717	0.9764889422	0.07534101412
718	0.9765401916	0.0753054009
719	0.9765582818	0.07528699681
720	0.9765764785	0.0752705808
721	0.9766155281	0.07523171116
722	0.9766061521	0.07521539701
723	0.9765880619	0.07518610585
724	0.9765810906	0.07516703365
725	0.9765816005	0.07513118509
726	0.9766055356	0.07511111719
727	0.9765968214	0.07507575238
728	0.9766568304	0.07505319131
729	0.9766731777	0.07502925724
730	0.9767011084	0.0750104999
731	0.9767524644	0.07499352081
732	0.9767372434	0.07497518201
733	0.9767542072	0.07496170194
734	0.9767127984	0.07493913487
735	0.9767308886	0.07491085958
736	0.9767903876	0.0748936996
737	0.9767851591	0.07486007189
738	0.9767653261	0.07483483694
739	0.9768760745	0.07479628405
740	0.976875458	0.07477873777
741	0.9768766909	0.07473114055
742	0.9768993932	0.07470505505
743	0.976901136	0.07467431479
744	0.9769332142	0.07465166815
745	0.9768935482	0.07463146609
746	0.976895291	0.07460891324
747	0.9768612569	0.07455875243
748	0.9769499196	0.07452685228
749	0.9769777438	0.07449705237
750	0.9770167933	0.07446212226
751	0.9770418548	0.07443090905
752	0.9770354999	0.07441734457
753	0.9770879823	0.07436538608
754	0.9771264154	0.07433601864
755	0.9771237977	0.07431528083
756	0.9771576187	0.07427267149
757	0.9771021153	0.07425571235
758	0.9771376791	0.07423568661
759	0.9771481362	0.07421537724
760	0.9771668428	0.07419739155
761	0.9771679692	0.07417527809
